head	O	art	eve	geo	gpe	nat	org	per	tim
!	0.000030777280212	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
""""	0.003662496345198	0.000112956060093	0.000113019891501	0.000177777777778	0.000099700897308	0.000113700966458	0.000182999359502	0.000180066624651	0.000194931773879
$	0.000954095686564	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
%	0.000276995521906	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
'	0.000384716002647	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000457498398756	0.000090033312326	0.000097465886940
'll	0.000061554560423	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
's	0.010156502469877	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000914996797511	0.000090033312326	0.000389863547758
(	0.000661711524553	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
)	0.000661711524553	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
,	0.029853961805395	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000365998719004	0.000090033312326	0.001169590643275
-	0.000984872966776	0.000112956060093	0.000113019891501	0.000177777777778	0.000099700897308	0.000113700966458	0.000365998719004	0.000180066624651	0.000877192982456
--	0.000153886401059	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
.	0.045996645276457	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
/	0.000030777280212	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000182999359502	0.000090033312326	0.000097465886940
0.9	0.000030777280212	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
01-Jan	0.000030777280212	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
02-Jun	0.000030777280212	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
03-Jun	0.000030777280212	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
04-Feb	0.000030777280212	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
04-Jan	0.000030777280212	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
04-Jun	0.000030777280212	0.000112956060093	0.000113019891501	0.000088888888889	0.000099700897308	0.000113700966458	0.000091499679751	0.000090033312326	0.000097465886940
